instance,params,runs,best,worst,mean,std,mean_time_to_best_s,mean_execution_time_s,mean_conv_gen,optimum,best_gap_%,mean_gap_%,bks_hit_%
la01,P1,20,666,686,669.9,6.545,0.0191,0.0983,18.2,666,0.0,0.59,60.0
la01,P2,20,666,666,666.0,0.0,0.0388,0.4235,17.1,666,0.0,0.0,100.0
la01,P3,20,666,666,666.0,0.0,0.0598,1.3634,12.2,666,0.0,0.0,100.0
la02,P1,20,656,720,690.5,18.378,0.0465,0.1051,42.9,655,0.15,5.42,0.0
la02,P2,20,655,698,670.4,11.26,0.1365,0.4788,52.9,655,0.0,2.35,5.0
la02,P3,20,655,672,660.8,5.187,0.4768,1.4343,99.1,655,0.0,0.89,25.0
la16,P1,20,978,1023,994.3,12.612,0.0404,0.1992,18.9,945,3.49,5.22,0.0
la16,P2,20,959,982,977.75,7.953,0.1971,0.8674,45.1,945,1.48,3.47,0.0
la16,P3,20,954,982,975.65,7.782,0.5111,2.6679,55.9,945,0.95,3.24,0.0
la17,P1,20,794,833,810.4,10.5,0.0791,0.2053,37.4,784,1.28,3.37,0.0
la17,P2,20,784,818,797.35,9.449,0.1898,0.8553,43.8,784,0.0,1.7,20.0
la17,P3,20,784,804,789.75,7.594,1.076,2.7169,117.0,784,0.0,0.73,45.0
la31,P1,20,1797,1848,1817.25,15.19,0.6252,0.9025,68.8,1784,0.73,1.86,0.0
la31,P2,20,1784,1786,1784.15,0.489,1.5484,3.6739,83.0,1784,0.0,0.01,90.0
la31,P3,20,1784,1784,1784.0,0.0,2.4457,11.1456,64.9,1784,0.0,0.0,100.0
la32,P1,20,1867,1984,1927.6,31.285,0.5296,0.8757,59.8,1850,0.92,4.19,0.0
la32,P2,20,1850,1879,1853.2,7.031,2.4558,3.6496,134.2,1850,0.0,0.17,60.0
la32,P3,20,1850,1850,1850.0,0.0,4.8568,11.2005,130.2,1850,0.0,0.0,100.0
