instance,category,parameter_set,runs,BKS,best_Cmax,worst_Cmax,average_Cmax,sample_std_Cmax,best_gap_percent,average_gap_percent,BKS_hit_rate_percent,average_convergence_generation,average_time_to_best_seconds,average_execution_time_seconds
la01,Small,P1,20,666,666,706,674.6,11.486,0.0,1.291,45.0,30.3,0.0457,0.1469
la01,Small,P2,20,666,666,678,666.6,2.683,0.0,0.09,95.0,16.55,0.053,0.5962
la01,Small,P3,20,666,666,666,666.0,0.0,0.0,0.0,100.0,12.25,0.084,1.8857
la02,Small,P1,20,655,671,741,697.45,17.337,2.443,6.481,0.0,30.75,0.0462,0.146
la02,Small,P2,20,655,655,687,667.95,8.338,0.0,1.977,10.0,77.35,0.2395,0.6068
la02,Small,P3,20,655,655,672,660.95,4.454,0.0,0.908,15.0,89.6,0.569,1.879
la16,Medium,P1,20,945,979,1008,988.2,8.612,3.598,4.571,0.0,19.4,0.0585,0.2879
la16,Medium,P2,20,945,945,982,978.95,8.127,0.0,3.593,5.0,28.35,0.1724,1.179
la16,Medium,P3,20,945,954,982,977.25,6.735,0.952,3.413,0.0,74.0,0.8978,3.5995
la17,Medium,P1,20,784,784,864,813.0,17.269,0.0,3.699,5.0,53.25,0.1549,0.2879
la17,Medium,P2,20,784,784,804,793.0,6.806,0.0,1.148,20.0,62.85,0.3768,1.1824
la17,Medium,P3,20,784,784,804,790.5,7.851,0.0,0.829,45.0,107.95,1.3106,3.6222
la31,Large,P1,20,1784,1786,1866,1822.9,17.973,0.112,2.18,0.0,57.65,0.7068,1.2176
la31,Large,P2,20,1784,1784,1784,1784.0,0.0,0.0,0.0,100.0,84.55,2.1021,4.9451
la31,Large,P3,20,1784,1784,1784,1784.0,0.0,0.0,0.0,100.0,64.2,3.2189,14.8305
la32,Large,P1,20,1850,1880,1941,1912.4,17.689,1.622,3.373,0.0,60.6,0.7408,1.2142
la32,Large,P2,20,1850,1850,1868,1851.1,4.077,0.0,0.059,90.0,126.3,3.1167,4.9189
la32,Large,P3,20,1850,1850,1850,1850.0,0.0,0.0,0.0,100.0,118.75,5.9296,14.884
